"division","semana","fecha","tipo_personal","n_trabajador_promedio_faena","casos_vigentes_minsal_acumulados","casos_vigentes_codelco_acumulados","total_casos_nuevos_confirmados_sint","total_casos_nuevos_confirmados_asint","total_pcr_realizadas","total_pcr_positivas","total_anticuerpo_realizadas","total_anticuerpo_positivas","total_antigeno_realizadas","total_antigeno_positivas","total_antigeno_pcr_positivas","n_contagio_laboral","total_casos_nuevos"
"CM","31",2020-07-29,"Propios","537","0","0","0","0","0","0","0","0","0","0","0","0",0
"CM","31",2020-07-29,"Contratistas","193","0","2","0","0","0","0","0","0","0","0","0","0",0
"CM","31",2020-07-30,"Propios","537","0","0","0","0","0","0","0","0","15","0","0","0",0
"CM","31",2020-07-30,"Contratistas","193","0","2","0","0","1","0","0","0","27","1","0","0",0
"CM","31",2020-07-31,"Propios","537","0","0","0","0","0","0","0","0","0","0","0","0",0
"CM","31",2020-07-31,"Contratistas","193","0","2","0","0","0","0","0","0","0","0","0","0",0
"CM","31",2020-08-01,"Propios","537","0","0","0","0","0","0","0","0","0","0","0","0",0
"CM","31",2020-08-01,"Contratistas","193","0","0","0","0","0","0","0","0","0","0","0","0",0
"CM","31",2020-08-02,"Propios","537","0","0","0","0","0","0","0","0","0","0","0","0",0
"CM","31",2020-08-02,"Contratistas","193","0","2","0","0","0","0","0","0","0","0","0","0",0
"DAND","31",2020-07-27,"Propios","1450","1","10","0","0","4","1","5","0","255","1","1","0",0
"DAND","31",2020-07-27,"Contratistas","4500","19","34","1","0","0","0","0","0","81","0","0","0",1
"DAND","31",2020-07-28,"Propios","1450","1","7","0","0","1","0","0","0","17","0","0","0",0
